,Year,Local Government Area,Total Population
531,2018,Northern Grampians,11429
532,2018,Port Phillip,113264
533,2018,Pyrenees,7352
534,2018,Queenscliffe,2981
535,2018,South Gippsland,29574
536,2018,Southern Grampians,16133
537,2018,Stonnington,116280
538,2018,Strathbogie,10643
539,2018,Surf Coast,32251
540,2018,Swan Hill,20759
541,2018,Towong,6053
542,2018,Wangaratta,29085
543,2018,Warrnambool,34862
544,2018,Wellington,44016
545,2018,West Wimmera,3861
546,2018,Whitehorse,176272
547,2018,Whittlesea,223346
548,2018,Wodonga,41428
549,2018,Wyndham,255366
550,2018,Yarra,98566
551,2018,Yarra Ranges,158170
552,2018,Yarriambiack,6657
553,2019,Alpine,12811
554,2019,Ararat,11843
555,2019,Ballarat,109503
556,2019,Banyule,131639
557,2019,Bass Coast,36314
558,2019,Baw Baw,53393
559,2019,Bayside,106855
560,2019,Benalla,14033
561,2019,Boroondara,183196
562,2019,Brimbank,209567
563,2019,Buloke,6122
564,2019,Campaspe,37614
565,2019,Cardinia,112178
566,2019,Casey,353961
567,2019,Central Goldfields,13181
568,2019,Colac-Otway,21561
569,2019,Corangamite,16016
570,2019,Darebin,164223
571,2019,East Gippsland,47307
572,2019,Frankston,142644
573,2019,Gannawarra,10468
574,2019,Glen Eira,156534
575,2019,Glenelg,19670
576,2019,Golden Plains,23721
577,2019,Greater Bendigo,118090
578,2019,Greater Dandenong,168260
579,2019,Greater Geelong,258937
580,2019,Greater Shepparton,66500
581,2019,Hepburn,15972
582,2019,Hindmarsh,5585
583,2019,Hobsons Bay,97764
584,2019,Horsham,19919
585,2019,Hume,233544
586,2019,Indigo,16698
587,2019,Kingston,165803
588,2019,Knox,164552
589,2019,Latrobe,75552
590,2019,Loddon,7501
591,2019,Macedon Ranges,50229
592,2019,Manningham,127584
593,2019,Mansfield,9174
594,2019,Maribyrnong,93481
595,2019,Maroondah,118568
596,2019,Melbourne,178993
597,2019,Melton,164935
598,2019,Mildura,55778
599,2019,Mitchell,46086
600,2019,Moira,29919
601,2019,Monash,202895
602,2019,Moonee Valley,130312
603,2019,Moorabool,35050
604,2019,Moreland,185810
605,2019,Mornington Peninsula,167618
606,2019,Mount Alexander,19750
607,2019,Moyne,16951
608,2019,Murrindindi,14567
609,2019,Nillumbik,65098
610,2019,Northern Grampians,11400
611,2019,Port Phillip,115619
612,2019,Pyrenees,7469
613,2019,Queenscliffe,2938
614,2019,South Gippsland,29909
615,2019,Southern Grampians,16097
616,2019,Stonnington,117775
617,2019,Strathbogie,10777
618,2019,Surf Coast,33456
619,2019,Swan Hill,20649
620,2019,Towong,6038
621,2019,Wangaratta,29183
622,2019,Warrnambool,35180
623,2019,Wellington,44377
624,2019,West Wimmera,3838
625,2019,Whitehorse,178778
626,2019,Whittlesea,230296
627,2019,Wodonga,42082
628,2019,Wyndham,270606
629,2019,Yarra,101515
630,2019,Yarra Ranges,159473
631,2019,Yarriambiack,6636
632,2020,Alpine,12972
633,2020,Ararat,11964
634,2020,Ballarat,111360
635,2020,Banyule,131939
636,2020,Bass Coast,37444
637,2020,Baw Baw,54883
638,2020,Bayside,107540
639,2020,Benalla,14136
640,2020,Boroondara,183022
641,2020,Brimbank,208246
642,2020,Buloke,6100
643,2020,Campaspe,37674
644,2020,Cardinia,116192
645,2020,Casey,364599
646,2020,Central Goldfields,13091
647,2020,Colac-Otway,21661
648,2020,Corangamite,15928
649,2020,Darebin,166429
650,2020,East Gippsland,47724
651,2020,Frankston,143337
652,2020,Gannawarra,10399
653,2020,Glen Eira,158215
654,2020,Glenelg,19620
655,2020,Golden Plains,24248
656,2020,Greater Bendigo,119979
657,2020,Greater Dandenong,168361
658,2020,Greater Geelong,264865
659,2020,Greater Shepparton,67069
660,2020,Hepburn,16156
661,2020,Hindmarsh,5591
662,2020,Hobsons Bay,98188
663,2020,Horsham,20017
664,2020,Hume,241187
665,2020,Indigo,16884
666,2020,Kingston,167292
667,2020,Knox,165146
668,2020,Latrobe,75914
669,2020,Loddon,7472
670,2020,Macedon Ranges,50970
671,2020,Manningham,128928
672,2020,Mansfield,9473
673,2020,Maribyrnong,94981
674,2020,Maroondah,119400
675,2020,Melbourne,183755
676,2020,Melton,172499
677,2020,Mildura,55936
678,2020,Mitchell,47646
679,2020,Moira,30017
680,2020,Monash,204935
681,2020,Moonee Valley,131752
682,2020,Moorabool,36012
683,2020,Moreland,188761
684,2020,Mornington Peninsula,168861
685,2020,Mount Alexander,20000
686,2020,Moyne,17026
687,2020,Murrindindi,14660
688,2020,Nillumbik,65218
689,2020,Northern Grampians,11402
690,2020,Port Phillip,116475
691,2020,Pyrenees,7554
692,2020,Queenscliffe,3007
693,2020,South Gippsland,30247
694,2020,Southern Grampians,16133
695,2020,Stonnington,118613
696,2020,Strathbogie,10991
697,2020,Surf Coast,34770
698,2020,Swan Hill,20533
699,2020,Towong,6101
700,2020,Wangaratta,29196
701,2020,Warrnambool,35532
702,2020,Wellington,44769
703,2020,West Wimmera,3809
704,2020,Whitehorse,180734
705,2020,Whittlesea,236538
706,2020,Wodonga,42661
707,2020,Wyndham,283293
708,2020,Yarra,103124
709,2020,Yarra Ranges,159954
710,2020,Yarriambiack,6587
711,2021,Alpine,13098
712,2021,Ararat,12004
713,2021,Ballarat,113350
714,2021,Banyule,131437
715,2021,Bass Coast,38586
716,2021,Baw Baw,56217
717,2021,Bayside,106919
718,2021,Benalla,14220
719,2021,Boroondara,178101
720,2021,Brimbank,202841
721,2021,Buloke,6028
722,2021,Campaspe,37612
